GB_Yield_Total,GK_Yield_Total,Rasio_GK_GB,GB_Kadar_Air_Mean,Cetak_Yield_Kg,Cetak_Pct_Teoritis,Kemas_Pct_Teoritis,Total_Waste_Kg,Cetak_Durasi_Hari,Kemas_Durasi_Hari,Bulan_Produksi,Defect_Overall,Material_Description,Cluster,Cluster_Label,PCA1,PCA2
463.2,330.3,0.7130829015544042,4.593333333333334,773.0,0.96625,0.960508,0.0,0.0,10.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-1.006342995848524,0.23426368572195932
461.9,330.1,0.7146568521324963,4.546666666666666,773.0,0.96625,0.96134,0.0,0.0,1.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9282234805953257,0.25678017040940415
465.97,330.1,0.7084147048093224,4.680000000000001,776.0,0.97,0.965808,0.0,0.0,1.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9159737770695879,0.2896891777994179
468.99,330.0,0.703639736454935,4.6000000000000005,780.0,0.975,0.974248,0.0,0.0,0.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8718995298582547,0.34491165025105786
461.0,330.0,0.7158351409978309,4.6066666666666665,773.0,0.96625,0.966316,0.0,1.0,0.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9205258794017278,0.2954979558083676
465.0,330.1,0.7098924731182796,4.6433333333333335,780.0,0.975,0.974872,0.0,0.0,1.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8759289102538916,0.354595162100454
465.7,330.2,0.7090401546059695,4.73,775.0,0.96875,0.9619,0.0,1.0,1.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9349728584104865,0.2760812779289572
468.8,329.8,0.7034982935153584,4.593333333333334,778.0,0.9725,0.969656,0.0,0.0,0.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8907491584518902,0.31273775546808985
463.0,330.08,0.7129157667386609,4.776666666666666,782.0,0.9775,0.9749,0.0,0.0,1.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8684734847532172,0.37177765443757604
463.4,330.0,0.7121277514026759,4.6866666666666665,776.0,0.97,0.972352,0.0,0.0,1.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9037626472464069,0.3271099353073669
471.1,329.9,0.7002759499044788,4.56,787.0,0.98375,0.982808,0.0,0.0,3.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8436443436114204,0.41022570351873466
469.3,330.0,0.7031749414020882,4.633333333333334,784.0,0.98,0.979312,0.0,0.0,0.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8429758186174882,0.38960420403625623
463.55,329.9,0.7116815877467371,4.66,777.0,0.97125,0.970364,0.0,1.0,1.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9056576997552236,0.329719319811205
469.28,330.0,0.7032049096488238,4.62,785.0,0.98125,0.980304,0.0,0.0,0.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8349258716784729,0.3989775516856154
464.35,330.0,0.7106708301927425,4.63,778.0,0.9725,0.97116,0.0,0.0,1.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8921114899276861,0.32741657645860317
464.7,330.0,0.7101355713363461,4.550000000000001,773.0,0.96625,0.965672,0.0,0.0,0.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9177987073494547,0.2752118893238764
457.78,330.0,0.7208702870374416,4.61,775.0,0.96875,0.94434,0.0,0.0,1.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9399930209875285,0.19130766809307215
465.2,329.8,0.7089423903697335,4.566666666666666,781.0,0.97625,0.974248,0.0,1.0,0.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8659883935560093,0.36443757167906754
462.3,330.1,0.7140385031364915,4.6433333333333335,781.0,0.97625,0.975248,0.0,0.0,0.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8578531404036353,0.3681141757563195
460.7,330.1,0.7165183416540049,4.696666666666666,774.0,0.9675,0.965364,0.0,0.0,0.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9142806880791019,0.28994565250006066
463.4,329.9,0.711911955114372,4.636666666666667,776.0,0.97,0.96884,0.0,0.0,1.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9068611110486726,0.3082703408361988
467.0,330.0,0.7066381156316917,4.57,784.0,0.98,0.979112,0.0,1.0,3.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8672904774133736,0.39395234152196207
465.6,329.8,0.7083333333333334,4.646666666666667,781.0,0.97625,0.968668,0.0,0.0,3.0,4.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8978749208308677,0.3238115272244127
